5.562	5.742	4.299	4.157	1.034	3.42	4.707	5.984	0.5985
5.855	5.898	4.321	4.232	0.991	3.641	4.919	6.11	0.6285
5.595	5.566	4.141	4.099	0.995	3.925	4.787	6.182	0.605
5.66	4.866	3.793	3.936	1.029	4.579	4.863	6.116	0.643
5.774	4.249	3.576	3.617	0.961	4.62	4.636	6.371	0.6395
5.907	3.862	3.497	3.598	0.988	4.805	4.988	6.357	0.658
6.113	3.621	3.339	3.455	0.94	4.942	4.473	6.607	0.6875
5.959	3.324	3.341	3.469	0.967	5.222	4.541	6.538	0.684
5.813	3.848	3.425	3.797	0.988	5.633	4.486	5.864	0.671
5.866	3.51	3.349	3.687	0.93	5.668	4.628	6.16	0.673
5.995	3.214	3.215	3.513	0.945	5.639	4.64	6.52	0.687
5.685	3.937	3.381	3.845	1.028	6.274	4.279	5.98	0.695
5.931	3.156	3.129	3.516	0.969	6.053	4.499	6.246	0.6735
5.985	3.097	3.087	3.461	0.973	6.21	4.473	6.537	0.6665
5.821	3.323	3.144	3.838	1.034	6.537	4.495	6.138	0.656
5.976	2.981	2.957	3.553	0.88	6.432	4.592	6.438	0.653
6.06	2.976	2.92	3.413	0.913	6.41	4.476	6.521	0.652
5.68	3.305	2.95	3.732	1.054	6.972	4.74	5.965	0.622
5.964	2.995	2.981	3.541	0.91	6.772	4.351	6.398	0.654
5.879	3.189	3.046	3.673	1.002	6.998	4.314	6.252	0.627
5.975	3.05	2.825	3.536	0.925	6.956	4.611	6.412	0.6
5.308	3.93	3.202	4.334	1.11	7.946	4.509	5.204	0.639
5.849	2.968	2.929	3.668	1.033	7.384	4.637	6.291	0.616
5.925	3.211	2.911	3.664	0.997	7.406	4.412	6.434	0.6075
5.765	3.188	2.919	3.699	0.951	7.546	4.343	6.282	0.605
6.126	6.812	2.976	3.578	0.933	16.174	4.61	5.617	0.5153
6.322	6.152	2.858	3.371	0.911	15.744	4.328	6.252	0.5036
6.35	6.221	2.865	3.311	0.921	15.655	4.433	5.978	0.496
6.219	6.513	2.891	3.456	0.964	15.779	4.367	5.998	0.505
6.152	6.55	3.004	3.546	0.945	16.271	3.979	5.302	0.494
6.071	6.55	2.835	3.365	0.937	15.676	4.652	6.031	0.485
5.888	6.808	3.027	3.552	0.936	16.351	4.276	5.566	0.493
5.898	7.126	3.013	3.669	0.978	16.37	4.639	5.363	0.4885
5.928	6.407	2.871	3.529	0.975	15.912	4.476	5.866	0.4745
5.997	6.416	2.849	3.501	0.912	15.634	4.309	5.905	0.4766
5.874	6.46	2.875	3.582	0.948	15.902	4.458	5.689	0.4705
6.744	6.55	2.907	3.706	0.974	15.785	4.329	5.134	0.471
5.833	6.535	2.933	3.608	0.981	15.681	4.323	5.836	0.4635
5.859	6.825	2.885	3.632	0.863	15.68	4.351	5.842	0.4813
5.748	6.713	2.874	3.658	0.93	15.673	4.244	5.691	0.4646
5.768	6.756	2.899	3.561	0.957	15.418	4.32	5.957	0.4685
5.594	6.98	3.033	3.761	0.989	15.767	4.493	5.509	0.492
5.76	6.53	2.85	3.505	0.909	15.008	4.362	5.919	0.4755
5.722	6.284	2.866	3.553	0.905	14.863	4.421	6.109	0.475
5.617	6.668	2.988	3.701	1	15.236	4.252	5.636	0.477
5.686	6.307	2.796	3.514	0.858	14.575	4.57	5.97	0.4685
5.614	6.483	2.821	3.633	0.913	14.585	4.43	5.926	0.453
5.63	6.375	2.881	3.64	0.926	14.535	4.366	6.016	0.4535
5.566	6.504	2.946	3.625	0.914	14.482	4.494	6.044	0.437
5.532	6.779	2.994	3.754	0.999	14.431	4.557	5.737	0.4355
5.486	6.289	2.837	3.666	1.017	13.993	4.248	5.636	0.4395
5.454	6.352	2.952	3.819	0.912	14.098	4.286	5.636	0.4463
5.598	6.019	2.94	3.701	0.933	13.773	4.49	5.994	0.4415
5.697	5.636	2.755	3.612	0.929	13.465	4.188	6.08	0.442
5.531	5.837	2.936	3.746	0.987	13.472	4.084	5.72	0.452
5.666	5.525	3.002	3.609	0.981	13.028	4.377	6.005	0.456
5.589	5.589	2.84	3.785	0.955	13.049	4.262	5.736	0.4785
5.46	5.478	2.958	3.865	0.981	13.048	4.37	5.606	0.516
5.835	4.804	2.822	3.568	0.917	12.492	4.156	5.975	0.517
5.853	4.368	2.816	3.513	0.912	11.967	4.331	6.164	0.5655
5.984	3.827	2.833	3.363	0.919	11.541	4.17	6.296	0.5915
6.048	3.552	2.724	3.356	0.847	11.243	4.31	6.463	0.6036
5.939	3.5	2.746	3.323	0.898	11.089	4.431	6.471	0.6105
6.021	3.255	2.689	3.125	0.873	10.688	4.249	6.664	0.6435
5.962	3.715	2.767	3.433	0.921	10.962	4.258	6.367	0.616
5.983	3.454	2.762	3.267	0.855	10.503	4.379	6.17	0.6155
5.888	3.422	2.829	3.389	0.869	10.632	4.303	6.349	0.6725
6.25	2.652	2.694	3.183	0.801	10.081	4.213	6.494	0.6505
6.058	2.77	2.601	3.049	0.841	9.637	4.173	6.58	0.66
5.992	3.118	2.749	3.295	0.795	9.921	4.376	6.403	0.662
6.037	3.147	2.743	3.224	0.852	9.772	4.141	6.454	0.64
5.987	3.102	2.809	3.383	0.906	9.791	4.265	6.274	0.6493
6.022	2.813	2.68	3.177	0.854	9.487	4.049	6.636	0.664
5.899	3.169	2.816	3.522	0.857	9.618	3.948	5.846	0.682
5.94	3.081	2.677	3.274	0.814	9.25	4.258	6.611	0.656
5.899	3.215	2.851	3.333	0.885	9.325	4.334	6.312	0.6735
5.989	2.765	2.644	3.294	0.848	8.937	3.907	5.973	0.6675
5.795	3.385	2.852	3.58	0.894	9.346	4.356	6.054	0.6615
5.751	3.099	2.8	3.475	0.886	9.088	4.406	6.148	0.6655
5.807	3.264	2.983	3.577	0.863	9.119	3.925	6.098	0.643
5.863	3.137	2.878	3.468	0.895	9.044	4.345	6.104	0.6715
5.728	3.128	2.847	3.481	0.883	9.005	4.445	6.342	0.662
5.671	2.928	2.791	3.402	0.87	8.81	4.222	6.002	0.697
5.715	3.313	2.909	3.599	0.969	9.047	4.426	6.155	0.652
5.725	3.14	2.79	3.571	0.858	8.726	4.066	6.172	0.6595
5.715	3.287	2.839	3.521	0.955	8.48	4.323	6.219	0.686
5.525	3.803	2.932	3.749	0.921	8.993	4.198	5.816	0.6535
