64.346	5.562	3.42	4.157	1.034	5.742	4.299	5.984	4.707	3.440815071
63.999	5.855	3.641	4.232	0.991	5.898	4.321	6.11	4.919	3.494508461
64.59	5.595	3.925	4.099	0.995	5.566	4.141	6.182	4.787	2.875788471
64.792	5.66	4.579	3.936	1.029	4.866	3.793	6.116	4.863	2.789841626
65.283	5.774	4.62	3.617	0.961	4.249	3.576	6.371	4.636	3.034254604
65.6	5.907	4.805	3.598	0.988	3.862	3.497	6.357	4.988	2.881016703
66.393	6.113	4.942	3.455	0.94	3.621	3.339	6.607	4.473	2.707225146
66.104	5.959	5.222	3.469	0.967	3.324	3.341	6.538	4.541	2.993477534
65.558	5.813	5.633	3.797	0.988	3.848	3.425	5.864	4.486	2.322707516
65.751	5.866	5.668	3.687	0.93	3.51	3.349	6.16	4.628	2.311271656
66.054	5.995	5.639	3.513	0.945	3.214	3.215	6.52	4.64	2.143520032
65.096	5.685	6.274	3.845	1.028	3.937	3.381	5.98	4.279	2.74355961
65.964	5.931	6.053	3.516	0.969	3.156	3.129	6.246	4.499	2.109775469
65.755	5.985	6.21	3.461	0.973	3.097	3.087	6.537	4.473	2.454355927
65.439	5.821	6.537	3.838	1.034	3.323	3.144	6.138	4.495	2.323339628
65.895	5.976	6.432	3.553	0.88	2.981	2.957	6.438	4.592	2.370092193
66.028	6.06	6.41	3.413	0.913	2.976	2.92	6.521	4.476	2.286125022
65.159	5.68	6.972	3.732	1.054	3.305	2.95	5.965	4.74	2.468197188
65.683	5.964	6.772	3.541	0.91	2.995	2.981	6.398	4.351	2.54023696
65.027	5.879	6.998	3.673	1.002	3.189	3.046	6.252	4.314	2.157409219
65.545	5.975	6.956	3.536	0.925	3.05	2.825	6.412	4.611	1.836249101
64	5.308	7.946	4.334	1.11	3.93	3.202	5.204	4.509	1.810912599
64.982	5.849	7.384	3.668	1.033	2.968	2.929	6.291	4.637	1.813116613
65.036	5.925	7.406	3.664	0.997	3.211	2.911	6.434	4.412	1.879496712
65.113	5.765	7.546	3.699	0.951	3.188	2.919	6.282	4.343	1.748778724
52.337	6.126	16.174	3.578	0.933	6.812	2.976	5.617	4.61	4.83138887
53.286	6.322	15.744	3.371	0.911	6.152	2.858	6.252	4.328	4.627910349
53.337	6.35	15.655	3.311	0.921	6.221	2.865	5.978	4.433	4.129612385
53.141	6.219	15.779	3.456	0.964	6.513	2.891	5.998	4.367	4.22758595
52.779	6.152	16.271	3.546	0.945	6.55	3.004	5.302	3.979	3.519874126
53.318	6.071	15.676	3.365	0.937	6.55	2.835	6.031	4.652	3.114770521
52.933	5.888	16.351	3.552	0.936	6.808	3.027	5.566	4.276	4.013121281
